Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,352152974,21/10/2025 20:29,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,50.53,0,"Cash Adjustment-Debt W/O",0,00:00:00:00,,,,,,,,,,,,
,380913619,21/10/2025 17:48,21/10/2025 20:27,XAUUSD,Buy,0.010,0.00000,0.00000,4113.42000,4097.51000,0.0000,0.0000,-1591.0,-15.91,-0.52,"",0,00:02:39:24,0.0,0s,1591.0,1666.67,0.0,0.0,-1591.0,-15.91,0.0,0.0,-1591.00,-15.91
,380933126,21/10/2025 18:13,21/10/2025 20:05,XAUUSD,Buy,0.010,0.00000,0.00000,4145.79000,4101.97000,0.0000,0.0000,-4382.0,-43.82,-1.41,"",0,00:01:52:20,0.0,0s,4382.0,5000.00,0.0,0.0,-4382.0,-43.82,0.0,0.0,-4382.00,-43.82
,352068812,21/10/2025 17:47,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,50.00,0,"Deposit-TH-QR-CPS-APP",0,00:00:00:00,,,,,,,,,,,,
,380863143,21/10/2025 17:01,21/10/2025 17:28,XAUUSD,Buy,0.010,0.00000,0.00000,4170.69000,4143.18000,0.0000,0.0000,-2751.0,-27.51,-0.89,"",0,00:00:26:42,0.0,0s,2751.0,3333.33,0.0,0.0,-2751.0,-27.51,0.0,0.0,-2751.00,-27.51
,380810780,21/10/2025 16:06,21/10/2025 17:28,XAUUSD,Buy,0.010,0.00000,0.00000,4208.51000,4147.33000,0.0000,0.0000,-6118.0,-61.18,-1.95,"",0,00:01:21:50,0.0,0s,6118.0,10000.00,0.0,0.0,-6118.0,-61.18,0.0,0.0,-6118.00,-61.18
,380775373,21/10/2025 15:14,21/10/2025 17:24,XAUUSD,Buy,0.010,0.00000,0.00000,4225.29000,4149.87000,0.0000,0.0000,-7542.0,-75.42,-2.35,"",0,00:02:09:38,0.0,0s,7542.0,10000.00,0.0,0.0,-7542.0,-75.42,0.0,0.0,-7542.00,-75.42
,352016725,21/10/2025 16:56,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,50.00,0,"Deposit-TH-QR-CPS-APP",0,00:00:00:00,,,,,,,,,,,,
,380695414,21/10/2025 12:26,21/10/2025 16:51,XAUUSD,Buy,0.010,0.00000,0.00000,4270.18000,4168.89000,0.0000,0.0000,-10129.0,-101.29,-3.10,"",0,00:04:24:41,0.0,0s,10129.0,0.00,0.0,0.0,-10129.0,-101.29,0.0,0.0,-10129.00,-101.29
,351974792,21/10/2025 16:12,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,50.00,0,"Deposit-TH-QR-CPS-APP",0,00:00:00:00,,,,,,,,,,,,
,351948559,21/10/2025 15:35,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,50.00,0,"Deposit-TH-QR-CPS-APP",0,00:00:00:00,,,,,,,,,,,,
,380737407,21/10/2025 14:02,21/10/2025 15:10,XAUUSD,Sell,0.010,0.00000,0.00000,4259.10000,4234.50000,0.0000,0.0000,2460.0,24.60,0.78,"",0,00:01:07:48,1.5,1m,0.0,0.00,2460.0,24.6,0.0,0.0,100.0,100.0,0.00,0.00
,351857664,21/10/2025 12:26,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,50.00,0,"Deposit-TH-QR-CPS-APP",0,00:00:00:00,,,,,,,,,,,,
,380036847,20/10/2025 03:57,20/10/2025 15:13,XAUUSD,Sell,0.010,0.00000,0.00000,4249.86000,4282.65000,0.0000,0.0000,-3279.0,-32.79,-1.05,"",0,00:11:16:57,12.8,1h 26m,5886.0,1.26,2607.0,26.07,-3279.0,-32.79,44.3,0.0,-5886.00,-58.86
,351201955,20/10/2025 03:56,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,18.15,0,"Transfer In from 143041",0,00:00:00:00,,,,,,,,,,,,
,350343493,17/10/2025 05:38,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,14.64,0,"Transfer In from 143041",0,00:00:00:00,,,,,,,,,,,,
,350051951,16/10/2025 19:28,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,11.85,0,"Cash Adjustment-Debt W/O",0,00:00:00:00,,,,,,,,,,,,
,378759038,16/10/2025 16:05,16/10/2025 19:23,XAUUSD,Sell,0.010,0.00000,0.00000,4243.94000,4290.51000,0.0000,0.0000,-4657.0,-46.57,-1.49,"",0,00:03:18:28,0.0,0s,4657.0,5000.00,0.0,0.0,-4657.0,-46.57,0.0,0.0,-4657.00,-46.57
,378218740,16/10/2025 05:08,16/10/2025 19:18,XAUUSD,Sell,0.010,0.00000,0.00000,4234.09000,4286.19000,0.0000,0.0000,-5210.0,-52.10,-1.64,"",0,00:14:10:12,32.6,4h 37m,8138.0,1.78,2928.0,29.28,-5210.0,-52.1,36.0,0.0,-8138.00,-81.38
,378457470,16/10/2025 01:38,16/10/2025 19:18,XAUUSD,Sell,0.010,0.00000,0.00000,4212.09000,4284.23000,0.0000,0.0000,-7214.0,-72.14,-2.22,"",0,00:17:39:43,2.8,29m,7942.0,9.91,728.0,7.28,-7214.0,-72.14,9.2,0.0,-7942.00,-79.42
,378711624,16/10/2025 14:45,16/10/2025 16:27,XAUUSD,Buy,0.010,0.00000,0.00000,4247.38000,4247.62000,0.0000,0.0000,24.0,0.24,0.01,"",0,00:01:42:02,1.0,1m,0.0,0.04,24.0,0.24,0.0,0.0,100.0,100.0,0.00,0.00
,378040807,15/10/2025 10:39,16/10/2025 05:11,XAUUSD,Buy,0.010,0.00000,0.00000,4205.18000,4233.19000,0.0000,0.0000,2801.0,28.01,0.87,"",0,00:18:31:54,56.0,10h 22m,3046.0,0.86,2874.0,28.740000000000002,-2460.0,-24.6,53.9,98.6,-73.00,-0.73
