Tags,Ticket,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
,30410974,04/04/2025 14:09,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-3.00,0,"Credit Out - Debt W/O",0,00:00:00:00,,,,,,,,,,,,
,30410972,04/04/2025 14:09,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,3.00,0,"Cash Adjustment - Debt W/O",0,00:00:00:00,,,,,,,,,,,,
,35031619,04/04/2025 13:27,04/04/2025 14:07,USOUSD,Buy,0.010,0.00000,0.00000,63.63100,62.09200,0.0000,0.0000,-153.9,-15.39,-99.61,"[so 0.79%/0.01/1.27]",0,00:00:39:43,,,,,,,,,,,,
,34981901,04/04/2025 12:08,04/04/2025 14:07,USOUSD,Buy,0.010,0.00000,0.00000,64.59100,62.13200,0.0000,0.0000,-245.9,-24.59,-61.41,"[so 17.97%/0.46/2.56]",0,00:01:58:57,,,,,,,,,,,,
,34971439,04/04/2025 11:48,04/04/2025 13:27,XAUUSD,Buy,0.010,0.00000,0.00000,3084.10000,3102.27000,0.0000,0.0000,1817.0,18.17,83.08,"",0,00:01:39:08,59.6,59m,4088.0,0.52,2683.0,26.830000000000002,-1405.0,-14.05,65.6,78.8,-866.00,-8.66
,30318775,04/04/2025 11:48,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,18.81,0,"Transfer In from 143041",0,00:00:00:00,,,,,,,,,,,,
,30316966,04/04/2025 11:45,,,Withdrawal,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,-6.94,0,"Credit Out - Debt W/O",0,00:00:00:00,,,,,,,,,,,,
,30316945,04/04/2025 11:45,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,6.94,0,"Cash Adjustment - Debt W/O",0,00:00:00:00,,,,,,,,,,,,
,34731817,04/04/2025 11:21,04/04/2025 11:42,XAUUSD,Buy,0.010,0.00000,0.00000,3083.98000,3079.90000,0.0000,0.0000,-408.0,-4.08,-57.14,"[so 19.78%/3.05/15.42]",0,00:00:20:43,95.3,19m,5178.0,0.09,4770.0,47.7,-408.0,-4.08,92.1,0.0,-5178.00,-51.78
,34937595,04/04/2025 11:26,04/04/2025 11:42,USOUSD,Buy,0.020,0.00000,0.00000,65.12600,64.64200,0.0000,0.0000,-48.4,-9.68,-57.55,"[so 19.52%/3.52/18.03]",0,00:00:15:47,,,,,,,,,,,,
,34843402,04/04/2025 07:41,04/04/2025 11:42,USOUSD,Buy,0.010,0.00000,0.00000,66.38100,64.65200,0.0000,0.0000,-172.9,-17.29,-50.69,"[so 19.07%/3.69/19.35]",0,00:04:00:25,,,,,,,,,,,,
,34909406,04/04/2025 10:08,04/04/2025 11:42,USOUSD,Buy,0.020,0.00000,0.00000,65.78600,64.66200,0.0000,0.0000,-112.4,-22.48,-39.72,"[so 18.29%/4.02/21.98]",0,00:01:33:11,,,,,,,,,,,,
,34730215,04/04/2025 03:14,04/04/2025 11:42,USOUSD,Buy,0.010,0.00000,0.00000,66.92100,64.66200,0.0000,0.0000,-225.9,-22.59,-28.53,"[so 17.20%/4.01/23.32]",0,00:08:27:26,,,,,,,,,,,,
,34792821,04/04/2025 05:56,04/04/2025 07:49,XAUUSD,Buy,0.010,0.00000,0.00000,3095.27000,3103.71000,0.0000,0.0000,844.0,8.44,11.93,"",0,00:01:53:41,90.3,1h 42m,1604.0,0.14,1411.0,14.11,-193.0,-1.93,88.0,64.7,-567.00,-5.67
,34469367,03/04/2025 16:23,04/04/2025 03:14,USOUSD,Buy,0.010,0.00000,0.00000,66.61000,66.89700,0.0000,0.0000,28.7,2.87,4.23,"",0,00:10:51:21,,,,,,,,,,,,
,34602720,03/04/2025 18:32,04/04/2025 02:28,XAUUSD,Buy,0.010,0.00000,0.00000,3106.37000,3112.72000,0.0000,0.0000,635.0,6.35,10.32,"",0,00:07:56:30,92.7,7h 21m,1280.0,0.33,1090.0,10.9,-357.0,-3.5700000000000003,75.3,68.6,-455.00,-4.55
,30007418,03/04/2025 19:19,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,10.00,0,"Credit In - Welcome5020",0,00:00:00:00,,,,,,,,,,,,
,29858720,03/04/2025 16:23,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0,50.00,0,"Deposit-TH-QR-CPS-APP",0,00:00:00:00,,,,,,,,,,,,
,34397527,03/04/2025 15:24,03/04/2025 16:11,USOUSD,Buy,0.050,0.00000,0.00000,67.09000,66.68100,0.0000,0.0000,-40.9,-20.45,-93.08,"[so 18.93%/1.27/6.71]",0,00:00:46:47,,,,,,,,,,,,
,34368967,03/04/2025 14:43,03/04/2025 16:10,USOUSD,Buy,0.050,0.00000,0.00000,67.52000,66.70100,0.0000,0.0000,-81.9,-40.95,-65.08,"[so 18.72%/2.52/13.46]",0,00:01:27:06,,,,,,,,,,,,
,34435260,03/04/2025 15:53,03/04/2025 16:03,XAUUSD,Buy,0.060,0.00000,0.00000,3077.60000,3070.33000,0.0000,0.0000,-727.0,-43.62,-40.94,"[so 19.87%/21.02/105.79]",0,00:00:10:15,,,,,,,,,,,,
,34350194,03/04/2025 14:20,03/04/2025 16:03,USOUSD,Buy,0.050,0.00000,0.00000,68.10000,66.88100,0.0000,0.0000,-121.9,-60.95,-36.39,"[so 19.81%/23.65/119.41]",0,00:01:43:24,,,,,,,,,,,,
,34252238,03/04/2025 14:24,03/04/2025 16:03,USOUSD,Buy,0.050,0.00000,0.00000,68.05500,66.88600,0.0000,0.0000,-116.9,-58.45,-25.87,"[so 19.23%/21.65/112.60]",0,00:01:38:48,,,,,,,,,,,,
,34304446,03/04/2025 13:36,03/04/2025 15:45,USOUSD,Buy,0.050,0.00000,0.00000,68.51000,66.59100,0.0000,0.0000,-191.9,-95.95,-29.81,"[so 17.36%/5.89/33.93]",0,00:02:08:30,,,,,,,,,,,,
,34263111,03/04/2025 12:59,03/04/2025 15:45,USOUSD,Buy,0.050,0.00000,0.00000,68.74500,66.60600,0.0000,0.0000,-213.9,-106.95,-24.94,"[so 19.95%/8.14/40.80]",0,00:02:45:51,,,,,,,,,,,,
,34331045,03/04/2025 15:21,03/04/2025 15:44,XAUUSD,Buy,0.050,0.00000,0.00000,3086.52000,3064.96000,0.0000,0.0000,-2156.0,-107.80,-20.09,"[so 17.37%/20.49/117.96]",0,00:00:23:22,75.0,17m,4796.0,0.82,2640.0,132.0,-2156.0,-107.80000000000001,55.0,0.0,-4796.00,-239.80
,32286367,03/04/2025 12:17,03/04/2025 15:44,USOUSD,Buy,0.050,0.00000,0.00000,69.12500,66.64100,0.0000,0.0000,-248.4,-124.20,-18.79,"[so 19.69%/24.59/124.87]",0,00:03:27:11,,,,,,,,,,,,
